letter,count_all,count_uppercase,percentage
W,36,14,3.75
e,122,9,12.7
a,107,20,11.13
t,93,12,9.68
h,23,1,2.39
r,60,0,6.24
M,16,1,1.66
i,38,10,3.95
n,72,27,7.49
s,49,2,5.1
k,9,7,0.94
p,13,0,1.35
u,35,0,3.64
f,26,0,2.71
o,68,1,7.08
d,49,0,5.1
y,22,0,2.29
v,2,0,0.21
B,21,19,2.19
l,75,14,7.8
c,15,0,1.56
x,1,0,0.1
G,9,9,0.94
